Archive/Tasking,Public/Private,Multistrip,Responsiveness,Order Number,Complete Date,Order Description,CAT ID,Sqkm,Charge ($),Charge (s),Order Notes
ARCHIVE,Public,N,Fresh,050276497010,1/6/2025,View-Ready (Standard) OR2A,103001010B456100,15.000,$15.00,00:00:00.032,N
ARCHIVE,Public,N,Fresh,050276498010,1/6/2025,View-Ready (Standard) 2A,103001010B456100,294.790,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276499010,1/6/2025,View-Ready (Standard) 2A,104001009E071A00,2504.570,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276500010,1/6/2025,View-Ready (Standard) OR2A,104001009E071A00,20.590,$20.59,00:00:00.040,N
ARCHIVE,Public,N,Fresh,050276501010,1/6/2025,View-Ready (Standard) OR2A,1030010108AB6500,50.540,$50.54,00:00:00.109,N
ARCHIVE,Public,N,Fresh,050276502010,1/6/2025,View-Ready (Standard) 2A,1030010108AB6500,611.580,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276503010,1/6/2025,View-Ready (Standard) OR2A,B11000110093C900,1.720,$1.72,00:00:00.005,N
ARCHIVE,Public,N,Fresh,050276504010,1/6/2025,View-Ready (Standard) 2A,B11000110093C900,288.410,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276506010,1/6/2025,View-Ready (Standard) OR2A,103001010B2F2600,5.420,$5.42,00:00:00.012,N
ARCHIVE,Public,N,Fresh,050276507010,1/6/2025,View-Ready (Standard) 2A,103001010B2F2600,294.120,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276728010,1/7/2025,View-Ready (Standard) 2A,10300101088A0000,536.780,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276729010,1/7/2025,View-Ready (Standard) OR2A,10300101088A0000,116.930,$116.93,00:00:00.252,N
ARCHIVE,Public,N,Fresh,050276730010,1/7/2025,View-Ready (Standard) OR2A,105001003FD31300,8.620,$8.62,00:00:00.025,N
ARCHIVE,Public,N,Fresh,050276731010,1/7/2025,View-Ready (Standard) 2A,105001003FD31300,275.040,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050276732010,1/7/2025,View-Ready (Standard) OR2A,105001003DB54900,2.750,$2.75,00:00:00.008,N
ARCHIVE,Public,N,Standard,050276733010,1/7/2025,View-Ready (Standard) 2A,105001003DB54900,274.290,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276735010,1/7/2025,View-Ready (Standard) OR2A,104001009D24A700,13.560,$13.56,00:00:00.026,N
ARCHIVE,Public,N,Fresh,050276736010,1/7/2025,View-Ready (Standard) 2A,104001009D24A700,174.610,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276749010,1/7/2025,View-Ready (Standard) OR2A,104001009F70B100,18.370,$18.37,00:00:00.036,N
ARCHIVE,Public,N,Fresh,050276750010,1/7/2025,View-Ready (Standard) 2A,104001009F70B100,1723.030,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276752010,1/7/2025,View-Ready (Standard) OR2A,104001009D9DCE00,16.530,$16.53,00:00:00.032,N
ARCHIVE,Public,N,Fresh,050276753010,1/7/2025,View-Ready (Standard) 2A,104001009D9DCE00,239.650,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276754010,1/7/2025,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,29.270,$29.27,00:00:00.063,N
ARCHIVE,Public,N,Fresh,050276755010,1/7/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,340.920,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276757010,1/7/2025,View-Ready (Standard) 2A,10400100A02C3C00,236.690,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276758010,1/7/2025,View-Ready (Standard) OR2A,10400100A02C3C00,38.240,$38.24,00:00:00.074,N
ARCHIVE,Public,N,Standard,050276760010,1/7/2025,View-Ready (Standard) 2A,104001009C784100,235.050,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050276761010,1/7/2025,View-Ready (Standard) OR2A,104001009C784100,36.430,$36.43,00:00:00.071,N
ARCHIVE,Public,N,Fresh,050276762010,1/7/2025,View-Ready (Standard) 2A,10300101089DA100,247.930,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276763010,1/7/2025,View-Ready (Standard) OR2A,10300101089DA100,12.460,$12.46,00:00:00.027,N
ARCHIVE,Public,N,Fresh,050276765010,1/7/2025,View-Ready (Standard) OR2A,103001010A598200,26.900,$26.90,00:00:00.058,N
ARCHIVE,Public,N,Fresh,050276766010,1/7/2025,View-Ready (Standard) 2A,103001010A598200,264.190,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050276767010,1/7/2025,View-Ready (Standard) 2A,1030010104A3A200,277.580,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050276768010,1/7/2025,View-Ready (Standard) OR2A,1030010104A3A200,66.140,$66.14,00:00:00.143,N
